id,census_name,name
47850,Vangara,Vangara
48320,Vepada,Vepada
48360,Vizianagaram,Vizianagaram Rural
48361,Vizianagaram,Vizianagaram Urban
49810,Achanta,Achanta
49750,Akividu,Akividu
49730,Attili,Attili
49840,Bhimavaram,Bhimavaram
49740,Ganapavaram,Ganapavaram
49790,Iragavaram,Iragavaram
49850,Kalla,Kalla
49860,Mogalthur,Mogalthur
49770,Palacoderu,Palacoderu
49880,Palacole,Palakollu Mandal
49690,Pentapadu,Pentapadu
49800,Penugonda,Penugonda
49780,Penumantra,Penumantra
49820,Poduru,Poduru
49461,T.Narasapuram,T.Narasapuram
49610,Tadepalligudem,Tadepalligudem
49720,Tanuku,Tanuku
49760,Undi,Undi
49830,Veeravasaram,Veeravasaram
48791,Yelamanchili,Yelamanchili
52270,Atlur,Atlur
52090,B.Kodur,B.Kodur
52100,Badvel,Badvel
52050,Brahmamgarimattam,Brahmamgarimattam
52340,Chakrayapet,Chakrayapet
52130,Chapad,Chapad
43560,Chennur,Chennur
52310,Chinthakommadinne,Chinthakommadinne
52030,Duvvur,Duvvur
52110,Gopavaram,Gopavaram
52150,Jammalamadugu,Jammalamadugu
52300,Kadapa,Kadapa
52070,Kalasapadu,Kalasapadu
52240,Kamalapuram,Kamalapuram
52120,Khajipet,Khajipet
52180,Lingala,Lingala
52160,Muddanur,Muddanur
52010,Peddamudium,Peddamudium
52320,Pendlimarri,Pendlimarri
52080,Porumamilla,Porumamilla
52140,Proddatur,Proddatur
52190,Pulivendla,Pulivendla
52040,S.Mydukur,S.Mydukur
52290,Sidhout,Sidhout
52170,Simhadripuram,Simhadripuram
52060,Sri Avadhutha Kasinayana,Sri Avadhutha Kasinayana
52210,Thondur,Thondur
52250,Vallur,Vallur
52220,Veerapunayunipalle,Veerapunayunipalle
52330,Vempalle,Vempalle
52200,Vemula,Vemula
52280,Vontimitta,Vontimitta
52230,Yerraguntla,Yerraguntla
